DateTime_Out,Line,Feed,OutputGood,Scrap
2018-01-02 08:00:00,3,870,216,654
2018-01-02 08:00:00,4,1262,540,722
2018-01-02 09:00:00,3,9840,9720,120
2018-01-02 09:00:00,4,3210,3618,-408
2018-01-02 10:00:00,3,10412,10260,152
2018-01-02 10:00:00,4,3706,3078,628
2018-01-02 11:00:00,3,9756,9666,90
2018-01-02 11:00:00,4,10072,9882,190
2018-01-02 12:00:00,3,10440,10368,72
2018-01-02 12:00:00,4,10364,10044,320
2018-01-02 13:00:00,3,9208,9018,190
2018-01-02 13:00:00,4,9588,9342,246
2018-01-02 14:00:00,3,3278,3780,-502
2018-01-02 14:00:00,4,10124,9828,296
2018-01-02 15:00:00,3,6670,5994,676
2018-01-02 15:00:00,4,10164,9828,336
2018-01-02 16:00:00,3,9840,9720,120
2018-01-02 16:00:00,4,10412,10098,314
2018-01-02 17:00:00,3,9889,9774,115
2018-01-02 17:00:00,4,9637,9470,167
2018-01-02 18:00:00,3,9642,9666,-24
2018-01-02 18:00:00,4,10452,10260,192
2018-01-02 19:00:00,3,9876,9720,156
2018-01-02 19:00:00,4,10216,10152,64
2018-01-02 20:00:00,3,10288,10206,82
2018-01-02 20:00:00,4,10616,10530,86
2018-01-02 21:00:00,3,10577,10442,135
2018-01-02 21:00:00,4,10691,10476,215
2018-01-02 22:00:00,3,9996,9882,114
2018-01-02 22:00:00,4,10148,10152,-4
2018-01-02 23:00:00,3,8316,8208,108
2018-01-02 23:00:00,4,7688,7560,128
2018-01-03 00:00:00,3,10152,10044,108
2018-01-03 00:00:00,4,10112,10192,-80
2018-01-03 01:00:00,3,9908,9828,80
2018-01-03 01:00:00,4,6776,6588,188
2018-01-03 02:00:00,3,10072,9936,136
2018-01-03 02:00:00,4,10568,10422,146
2018-01-03 03:00:00,3,9928,9882,46
2018-01-03 03:00:00,4,10712,10638,74
2018-01-03 04:00:00,3,10185,10030,155
2018-01-03 04:00:00,4,10728,10638,90
2018-01-03 05:00:00,3,10264,10152,112
2018-01-03 05:00:00,4,10344,10260,84
