	Line	ProductDescription	DateTime_Out	Feed	OutputGood	Scrap	Error_Count	Sum_Duration	Sum_Staff
0	1	1	2018-01-02 23:00:00	2230	1674	556	37	788	14
1	1	1	2018-01-03 00:00:00	7460	7398	62	53	830	7
2	1	1	2018-01-03 01:00:00	8324	8208	116	30	868	3
3	1	1	2018-01-03 02:00:00	9796	9828	-32	52	422	3
4	1	1	2018-01-03 03:00:00	9632	9288	344	57	536	3
5	1	1	2018-01-03 04:00:00	9899	9828	71	32	496	3
6	1	1	2018-01-03 05:00:00	8460	8532	-72	62	848	3
7	1	1	2018-01-03 06:00:00	6335	6048	287	50	1376	6
8	1	1	2018-01-03 07:00:00	8443	8424	19	61	878	3
9	1	1	2018-01-03 08:00:00	9244	9126	118	63	542	3
10	1	1	2018-01-03 09:00:00	7912	7722	190	77	1012	3
11	1	1	2018-01-03 10:00:00	8352	8262	90	46	884	3
12	1	1	2018-01-03 11:00:00	9771	9666	105	43	404	3
13	1	1	2018-01-03 12:00:00	7632	7452	180	52	1264	3
14	1	1	2018-01-03 13:00:00	8544	8424	120	58	718	3
15	1	1	2018-01-03 14:00:00	6661	6588	73	80	1360	6
16	1	1	2018-01-03 15:00:00	9024	8856	168	51	628	6
17	1	1	2018-01-03 16:00:00	9207	9072	135	53	620	3
18	1	1	2018-01-03 17:00:00	8819	8802	17	63	704	3
19	1	1	2018-01-03 18:00:00	8296	8046	250	44	4364	3
20	1	1	2018-01-03 21:00:00	8120	8154	-34	1	46	3
21	1	1	2018-01-03 22:00:00	7980	7722	258	42	840	6
22	1	1	2018-01-03 23:00:00	9264	9072	192	25	1052	6
23	1	1	2018-01-04 00:00:00	4488	4320	168	19	900	3
24	1	1	2018-01-04 01:00:00	7796	7614	182	31	1908	3
25	1	1	2018-01-04 02:00:00	9419	9342	77	32	1502	3
26	1	1	2018-01-04 03:00:00	8223	7938	285	69	550	3
27	1	1	2018-01-04 04:00:00	9356	9126	230	75	882	3
28	1	1	2018-01-04 05:00:00	9904	9882	22	29	580	3
29	1	1	2018-01-04 06:00:00	9168	9126	42	25	388	6
30	1	1	2018-01-04 07:00:00	5104	4914	190	47	672	3
31	1	1	2018-01-04 08:00:00	684	540	144	14	17022	3
32	1	1	2018-01-04 09:00:00	7967	7884	83	44	350	3
33	1	1	2018-01-04 10:00:00	2358	2376	-18	27	512	3
34	1	1	2018-01-04 11:00:00	152	162	-10	33	1002	3
35	1	1	2018-01-04 12:00:00	5791	5724	67	48	1066	3
36	1	1	2018-01-04 13:00:00	8924	8748	176	45	532	3
37	1	1	2018-01-04 14:00:00	8240	8262	-22	28	6306	6
38	1	1	2018-01-04 15:00:00	5650	6120	-470	12	842	6
39	1	2	2018-01-04 17:00:00	6066	5616	450	25	854	3
40	1	2	2018-01-04 18:00:00	8280	8100	180	53	978	3
41	1	2	2018-01-04 19:00:00	8100	8046	54	39	458	3
42	1	2	2018-01-04 20:00:00	9710	9558	152	37	492	3
43	1	2	2018-01-04 21:00:00	9584	9504	80	29	894	5
44	1	2	2018-01-04 22:00:00	8263	8316	-53	73	280	4
45	1	2	2018-01-04 23:00:00	10224	10152	72	28	728	4
46	1	2	2018-01-05 00:00:00	8868	8748	120	19	4296	2
47	1	2	2018-01-05 01:00:00	6256	6156	100	5	948	2
48	1	2	2018-01-05 02:00:00	52	54	-2	20	448	2
49	1	2	2018-01-05 03:00:00	9400	9414	-14	35	362	2
50	1	2	2018-01-05 04:00:00	10104	10044	60	66	470	2
51	1	2	2018-01-05 05:00:00	9430	9396	34	76	618	2
52	1	2	2018-01-05 06:00:00	9128	9018	110	129	2846	4
53	1	2	2018-01-05 07:00:00	6946	7416	-470	2	3796	2
54	1	1	2018-01-05 14:00:00	3868	3510	358	22	4638	7
55	1	1	2018-01-05 15:00:00	9980	9828	152	9	1310	7
56	1	1	2018-01-05 16:00:00	9836	9774	62	54	384	5
57	1	1	2018-01-05 17:00:00	10056	10098	-42	26	420	5
58	1	1	2018-01-05 18:00:00	10152	10098	54	32	316	5
59	1	1	2018-01-05 19:00:00	10044	9936	108	90	290	5
60	1	1	2018-01-05 20:00:00	9471	9396	75	49	344	5
61	1	1	2018-01-05 21:00:00	9724	9666	58	50	434	5
62	1	1	2018-01-05 22:00:00	9744	9612	132	77	418	10
63	1	1	2018-01-05 23:00:00	8756	8802	-46	35	506	10
64	1	1	2018-01-06 00:00:00	9192	9180	12	32	32686	5
65	1	1	2018-01-06 01:00:00	9974	9774	200	38	724	5
66	1	1	2018-01-06 02:00:00	9795	9774	21	37	628	5
67	1	1	2018-01-06 03:00:00	9199	9126	73	27	398	5
68	1	1	2018-01-06 04:00:00	8941	8802	139	49	428	5
69	1	1	2018-01-06 05:00:00	9019	9018	1	45	630	5
70	1	1	2018-01-06 06:00:00	9779	9612	167	49	710	10
71	1	1	2018-01-06 07:00:00	8950	9018	-68	32	648	5
72	1	1	2018-01-06 08:00:00	8556	8424	132	44	666	5
73	1	1	2018-01-06 09:00:00	8040	7938	102	33	834	5
74	1	1	2018-01-06 10:00:00	7520	7560	-40	20	1176	5
75	1	1	2018-01-06 11:00:00	9672	9450	222	59	1018	5
76	1	1	2018-01-06 12:00:00	8204	8316	-112	42	444	5
77	1	1	2018-01-06 13:00:00	10436	10260	176	37	906	5
78	1	1	2018-01-06 14:00:00	8767	8640	127	46	264	10
79	1	1	2018-01-06 15:00:00	5945	5886	59	36	990	11
80	1	1	2018-01-06 16:00:00	8596	8532	64	20	58206	4
81	1	1	2018-01-06 17:00:00	7914	7938	-24	31	1658	4
82	1	1	2018-01-06 18:00:00	7455	7344	111	18	654	4
83	1	1	2018-01-06 19:00:00	6120	6156	-36	39	1266	4
84	1	1	2018-01-06 20:00:00	9028	8910	118	37	1032	4
85	1	1	2018-01-06 21:00:00	3063	3186	-123	32	1566	4
86	1	1	2018-01-06 22:00:00	9095	8856	239	50	744	8
87	1	1	2018-01-06 23:00:00	10060	9936	124	29	2502	8
88	1	1	2018-01-07 00:00:00	5024	5508	-484	40	660	4
89	1	1	2018-01-07 01:00:00	6966	6318	648	31	360	4
90	1	1	2018-01-07 02:00:00	8999	8964	35	32	2726	4
91	1	1	2018-01-07 03:00:00	9440	9288	152	34	586	4
92	1	1	2018-01-07 04:00:00	8060	7884	176	49	640	4
93	1	1	2018-01-07 05:00:00	8403	8316	87	52	660	4
94	1	1	2018-01-07 06:00:00	7828	7830	-2	41	894	8
95	1	1	2018-01-07 07:00:00	7900	7722	178	94	1038	9
96	1	1	2018-01-07 08:00:00	9108	9018	90	94	966	6
97	1	1	2018-01-07 09:00:00	8727	8694	33	89	588	6
98	1	1	2018-01-07 10:00:00	8742	8748	-6	118	716	6
99	1	1	2018-01-07 11:00:00	10184	10044	140	116	696	6
100	1	1	2018-01-07 12:00:00	9712	9666	46	32	290	6
101	1	1	2018-01-07 13:00:00	9588	9558	30	20	594	6
102	1	1	2018-01-07 14:00:00	10312	10206	106	28	364	12
103	1	1	2018-01-07 15:00:00	6880	6804	76	49	236	20
104	1	1	2018-01-07 16:00:00	9551	9558	-7	48	1356	4
105	1	1	2018-01-07 17:00:00	9368	9234	134	59	516	4
106	1	1	2018-01-07 18:00:00	7688	7722	-34	42	514	4
107	1	1	2018-01-07 19:00:00	5100	5022	78	49	2988	4
108	1	1	2018-01-07 20:00:00	5479	5400	79	26	368	4
109	1	1	2018-01-07 21:00:00	7595	7614	-19	45	1794	4
110	1	1	2018-01-07 22:00:00	6925	6804	121	59	1126	8
111	1	1	2018-01-07 23:00:00	8088	8208	-120	81	1272	8
112	1	1	2018-01-08 00:00:00	5546	5868	-322	42	1050	4
113	1	3	2018-01-08 01:00:00	5506	4860	646	37	3212	4
114	1	3	2018-01-08 02:00:00	9363	9288	75	28	294	4
115	1	3	2018-01-08 03:00:00	8624	8424	200	49	522	4
116	1	3	2018-01-08 04:00:00	8634	8478	156	68	834	4
117	1	3	2018-01-08 05:00:00	6382	6426	-44	58	802	4
118	1	3	2018-01-08 06:00:00	6784	6588	196	88	1576	13
119	1	3	2018-01-08 07:00:00	8804	8640	164	36	1258	8
120	1	3	2018-01-08 08:00:00	9324	9180	144	51	718	8
121	1	3	2018-01-08 09:00:00	8920	8910	10	62	556	8
122	1	3	2018-01-08 10:00:00	9176	8964	212	123	618	8
123	1	3	2018-01-08 11:00:00	9388	9288	100	102	648	8
124	1	3	2018-01-08 12:00:00	6698	6642	56	71	454	8
125	1	3	2018-01-08 13:00:00	10095	10044	51	54	1402	8
126	1	3	2018-01-08 14:00:00	8943	8802	141	62	324	16
127	1	3	2018-01-08 15:00:00	9863	9720	143	53	674	20
128	1	3	2018-01-08 16:00:00	7490	7974	-484	56	416	4
129	1	1	2018-01-08 18:00:00	5087	4698	389	11	578	4
130	1	1	2018-01-08 19:00:00	9530	9450	80	32	400	4
131	1	1	2018-01-08 20:00:00	9436	9288	148	48	756	4
132	1	1	2018-01-08 21:00:00	10376	10260	116	49	722	4
133	1	1	2018-01-08 22:00:00	10096	10044	52	41	2078	8
134	1	1	2018-01-08 23:00:00	8564	8586	-22	62	636	8
135	1	1	2018-01-09 00:00:00	9801	9720	81	28	256	4
136	1	1	2018-01-09 01:00:00	8720	8586	134	44	222	4
137	1	1	2018-01-09 02:00:00	9963	9882	81	30	238	4
138	1	1	2018-01-09 03:00:00	8088	7938	150	35	508	4
139	1	1	2018-01-09 04:00:00	8072	8046	26	37	1864	4
140	1	1	2018-01-09 05:00:00	7340	7290	50	26	542	4
141	1	1	2018-01-09 06:00:00	9199	9126	73	22	610	8
142	1	1	2018-01-09 07:00:00	8916	8910	6	24	1490	4
143	1	1	2018-01-09 08:00:00	8936	8856	80	46	514	4
144	1	1	2018-01-09 09:00:00	7980	7830	150	42	480	4
145	1	1	2018-01-09 10:00:00	4476	4482	-6	25	1112	4
146	1	1	2018-01-09 11:00:00	9792	9666	126	37	886	4
147	1	1	2018-01-09 12:00:00	5893	6372	-479	33	188	4
148	1	1	2018-01-09 13:00:00	5113	4644	469	35	176	4
149	1	1	2018-01-09 14:00:00	10143	9990	153	46	570	8
150	1	1	2018-01-09 15:00:00	9276	9234	42	47	716	8
151	1	1	2018-01-09 16:00:00	9684	9612	72	28	274	7
152	1	1	2018-01-09 17:00:00	8366	8316	50	87	858	3
153	1	1	2018-01-09 18:00:00	9112	9018	94	39	1036	3
154	1	1	2018-01-09 19:00:00	8578	8586	-8	51	640	3
155	1	1	2018-01-09 20:00:00	8399	8316	83	28	4806	3
156	1	1	2018-01-09 21:00:00	9132	9072	60	33	868	3
157	1	1	2018-01-09 22:00:00	9376	9342	34	68	502	6
158	1	1	2018-01-09 23:00:00	8824	8694	130	43	594	6
159	1	1	2018-01-10 00:00:00	8868	8856	12	48	616	3
160	1	1	2018-01-10 01:00:00	8956	8892	64	38	904	3
161	1	1	2018-01-10 02:00:00	9924	9882	42	46	916	3
162	1	1	2018-01-10 03:00:00	9448	9342	106	47	484	3
163	1	1	2018-01-10 04:00:00	9196	9180	16	39	332	3
164	1	1	2018-01-10 05:00:00	6211	6102	109	62	972	3
165	1	1	2018-01-10 06:00:00	8980	9018	-38	38	556	6
166	1	1	2018-01-10 07:00:00	8812	8748	64	39	492	3
167	1	1	2018-01-10 08:00:00	8340	8262	78	37	698	3
168	1	1	2018-01-10 09:00:00	8584	8532	52	75	1316	4
169	1	1	2018-01-10 10:00:00	7650	7560	90	43	890	4
170	1	1	2018-01-10 11:00:00	7092	7236	-144	34	286	4
171	1	1	2018-01-10 12:00:00	9003	8694	309	39	1288	4
172	1	1	2018-01-10 13:00:00	8700	8694	6	36	670	4
173	1	1	2018-01-10 14:00:00	9520	9396	124	40	342	8
174	1	1	2018-01-10 15:00:00	7669	7668	1	94	436	8
175	1	1	2018-01-10 16:00:00	6993	6912	81	43	2182	4
176	1	1	2018-01-10 17:00:00	4572	4644	-72	49	622	4
177	1	1	2018-01-10 18:00:00	7919	7830	89	93	748	4
178	1	1	2018-01-10 19:00:00	7561	7506	55	33	420	4
179	1	1	2018-01-10 20:00:00	4312	4374	-62	33	206	4
180	1	1	2018-01-10 21:00:00	620	486	134	79	464	4
181	1	1	2018-01-10 22:00:00	8936	8856	80	33	520	8
182	1	1	2018-01-10 23:00:00	9676	9720	-44	41	526	8
183	1	1	2018-01-11 00:00:00	4690	5148	-458	44	212	4
184	1	1	2018-01-11 01:00:00	5394	4860	534	70	446	4
185	1	1	2018-01-11 02:00:00	9056	9018	38	104	1028	4
186	1	1	2018-01-11 03:00:00	9363	9234	129	62	424	4
187	1	1	2018-01-11 04:00:00	9256	9180	76	44	256	8
188	1	1	2018-01-11 05:00:00	4466	4428	38	62	408	4
189	1	1	2018-01-11 06:00:00	7256	7236	20	51	604	8
190	1	1	2018-01-11 07:00:00	4232	4212	20	131	406	7
191	1	1	2018-01-11 08:00:00	4984	4914	70	84	3452	3
192	1	1	2018-01-11 09:00:00	3378	3294	84	1	2050	3
193	1	1	2018-01-11 10:00:00	6012	5994	18	29	680	3
194	1	1	2018-01-11 11:00:00	3996	3942	54	36	316	3
195	1	1	2018-01-11 12:00:00	4364	4320	44	49	638	3
196	1	1	2018-01-11 13:00:00	6609	6588	21	24	4770	3
197	1	1	2018-01-11 14:00:00	7660	7560	100	4	14	6
198	1	1	2018-01-11 15:00:00	9516	9504	12	30	412	11
199	1	1	2018-01-11 16:00:00	5040	5022	18	29	270	8
200	1	1	2018-01-11 17:00:00	5424	5346	78	62	536	8
201	1	1	2018-01-11 18:00:00	5935	5886	49	54	964	8
202	1	1	2018-01-11 19:00:00	5551	5562	-11	33	442	8
203	1	1	2018-01-11 20:00:00	164	108	56	39	568	8
204	1	1	2018-01-11 21:00:00	9044	8964	80	40	1062	8
205	1	1	2018-01-11 22:00:00	9266	9234	32	30	774	16
206	1	1	2018-01-11 23:00:00	7352	7398	-46	50	670	16
207	1	1	2018-01-12 00:00:00	8236	8046	190	33	1326	8
208	1	1	2018-01-12 01:00:00	6624	6534	90	103	1910	8
209	1	1	2018-01-12 02:00:00	7339	7236	103	39	1514	8
210	1	1	2018-01-12 03:00:00	8431	8424	7	27	492	8
211	1	1	2018-01-12 04:00:00	5096	5076	20	29	290	8
212	1	1	2018-01-12 05:00:00	7732	7614	118	67	498	8
213	1	1	2018-01-12 06:00:00	7887	7830	57	34	280	16
214	1	1	2018-01-12 07:00:00	5692	5670	22	43	258	8
215	1	1	2018-01-12 08:00:00	8980	8910	70	31	288	8
216	1	1	2018-01-12 09:00:00	9482	9396	86	69	372	8
217	1	1	2018-01-12 10:00:00	4556	4536	20	53	638	8
218	1	1	2018-01-12 11:00:00	2968	2916	52	7	3398	8
219	1	1	2018-01-12 14:00:00	0	108	-108	11	17876	16
220	1	1	2018-01-12 19:00:00	7096	6912	184	29	308	8
221	1	1	2018-01-12 20:00:00	8186	8154	32	43	392	8
222	1	1	2018-01-12 21:00:00	8232	8100	132	19	1496	8
223	1	1	2018-01-12 22:00:00	8319	8208	111	79	848	16
224	1	1	2018-01-12 23:00:00	8971	9018	-47	84	866	16
225	1	1	2018-01-13 00:00:00	8992	8856	136	3	26658	8
226	1	1	2018-01-13 01:00:00	9460	9396	64	50	648	8
227	1	1	2018-01-13 02:00:00	4716	5184	-468	48	698	8
228	1	1	2018-01-13 03:00:00	6948	6372	576	38	536	8
229	1	1	2018-01-13 04:00:00	9418	9342	76	32	2940	8
230	1	1	2018-01-13 05:00:00	8363	8262	101	29	406	8
231	1	1	2018-01-13 06:00:00	7852	7938	-86	61	542	16
232	1	1	2018-01-13 07:00:00	6852	6588	264	53	882	8
233	1	1	2018-01-13 08:00:00	7004	6966	38	1	34200	8
234	1	1	2018-01-13 09:00:00	9492	9396	96	71	1090	8
235	1	1	2018-01-13 10:00:00	9928	9882	46	58	1404	8
236	1	1	2018-01-13 11:00:00	8675	8586	89	84	1208	8
237	1	1	2018-01-13 12:00:00	9670	9558	112	60	472	8
238	1	1	2018-01-13 13:00:00	9196	9126	70	41	556	8
239	1	1	2018-01-13 14:00:00	9199	9072	127	54	578	16
240	1	1	2018-01-13 15:00:00	9808	9828	-20	48	456	16
241	1	1	2018-01-13 16:00:00	10256	10098	158	52	620	8
242	1	1	2018-01-13 17:00:00	10160	10098	62	48	626	8
243	1	1	2018-01-13 18:00:00	9832	9828	4	29	390	8
244	1	1	2018-01-13 19:00:00	10080	9936	144	1	61058	8
245	1	1	2018-01-13 20:00:00	9980	9990	-10	43	290	8
246	1	1	2018-01-13 21:00:00	10025	9882	143	48	292	8
247	1	1	2018-01-13 22:00:00	9955	9990	-35	43	414	16
248	1	1	2018-01-13 23:00:00	9876	9720	156	34	332	16
249	1	1	2018-01-14 00:00:00	9654	9612	42	28	382	8
250	1	1	2018-01-14 01:00:00	9976	9882	94	35	354	8
251	1	1	2018-01-14 02:00:00	8664	8532	132	35	412	8
252	1	1	2018-01-14 03:00:00	9624	9612	12	46	404	8
253	1	1	2018-01-14 04:00:00	9396	9342	54	50	434	8
254	1	1	2018-01-14 05:00:00	9744	9720	24	46	424	8
255	1	1	2018-01-14 06:00:00	10404	10260	144	46	748	16
256	1	1	2018-01-14 07:00:00	9883	9828	55	34	446	8
257	1	1	2018-01-14 08:00:00	9369	9342	27	36	424	8
258	1	1	2018-01-14 09:00:00	8251	8208	43	27	406	8
259	1	1	2018-01-14 10:00:00	8191	8100	91	56	532	8
260	1	1	2018-01-14 11:00:00	4508	4950	-442	87	936	8
261	1	5	2018-01-14 12:00:00	2218	1620	598	49	874	8
262	1	5	2018-01-14 13:00:00	9456	9342	114	65	5004	8
263	1	5	2018-01-14 14:00:00	9551	9396	155	5	58	16
264	1	5	2018-01-14 15:00:00	10496	10368	128	73	512	16
265	1	5	2018-01-14 16:00:00	9776	9666	110	69	470	8
266	1	5	2018-01-14 17:00:00	9542	9558	-16	62	152	8
267	1	5	2018-01-14 18:00:00	10203	10044	159	49	414	8
268	1	5	2018-01-14 19:00:00	10394	10368	26	58	454	8
269	1	5	2018-01-14 20:00:00	9546	9504	42	46	304	8
270	1	5	2018-01-14 21:00:00	9223	8946	277	52	170	8
271	1	5	2018-01-14 22:00:00	9325	9558	-233	68	620	16
272	1	5	2018-01-14 23:00:00	2330	1926	404	69	438	17
273	1	5	2018-01-14 23:00:00	2330	1926	404	69	438	17
274	1	5	2018-01-15 00:00:00	9244	9180	64	53	538	4
275	1	5	2018-01-15 01:00:00	9628	9774	-146	19	2878	4
276	1	5	2018-01-15 02:00:00	5719	5562	157	47	566	4
277	1	5	2018-01-15 03:00:00	9380	9234	146	50	582	4
278	1	5	2018-01-15 04:00:00	9087	9018	69	55	1620	4
279	1	5	2018-01-15 05:00:00	9123	9126	-3	88	554	4
