Line,ProductDescription,DateTime_Out,Feed,OutputGood,Scrap,Error_Count,Sum_Duration,Avg_Staff
1,Liraglutid 1.8 mg,2018-01-02 23:00:00,2230,1674,556,31,608,3.5
1,Liraglutid 1.8 mg,2018-01-03 00:00:00,7460,7398,62,47,726,3.5
1,Liraglutid 1.8 mg,2018-01-03 01:00:00,8324,8208,116,24,474,3
1,Liraglutid 1.8 mg,2018-01-03 02:00:00,9796,9828,-32,49,312,3
1,Liraglutid 1.8 mg,2018-01-03 03:00:00,9632,9288,344,52,342,3
1,Liraglutid 1.8 mg,2018-01-03 04:00:00,9899,9828,71,26,318,3
1,Liraglutid 1.8 mg,2018-01-03 05:00:00,8460,8532,-72,58,678,3
1,Liraglutid 1.8 mg,2018-01-03 06:00:00,6335,6048,287,49,1348,3
1,Liraglutid 1.8 mg,2018-01-03 07:00:00,8443,8424,19,55,648,3
1,Liraglutid 1.8 mg,2018-01-03 08:00:00,9244,9126,118,57,484,3
1,Liraglutid 1.8 mg,2018-01-03 09:00:00,7912,7722,190,67,944,3
1,Liraglutid 1.8 mg,2018-01-03 10:00:00,8352,8262,90,42,644,3
1,Liraglutid 1.8 mg,2018-01-03 11:00:00,9771,9666,105,40,384,3
1,Liraglutid 1.8 mg,2018-01-03 12:00:00,7632,7452,180,41,718,3
1,Liraglutid 1.8 mg,2018-01-03 13:00:00,8544,8424,120,56,658,3
1,Liraglutid 1.8 mg,2018-01-03 14:00:00,6661,6588,73,79,1314,3
1,Liraglutid 1.8 mg,2018-01-03 15:00:00,9024,8856,168,50,590,3
1,Liraglutid 1.8 mg,2018-01-03 16:00:00,9207,9072,135,49,422,3
1,Liraglutid 1.8 mg,2018-01-03 17:00:00,8819,8802,17,63,704,3
1,Liraglutid 1.8 mg,2018-01-03 18:00:00,8296,8046,250,39,4198,3
1,Liraglutid 1.8 mg,2018-01-03 21:00:00,8120,8154,-34,1,46,3
1,Liraglutid 1.8 mg,2018-01-03 22:00:00,7980,7722,258,39,754,3
1,Liraglutid 1.8 mg,2018-01-03 23:00:00,9264,9072,192,24,1042,3
1,Liraglutid 1.8 mg,2018-01-04 00:00:00,4488,4320,168,19,900,3
1,Liraglutid 1.8 mg,2018-01-04 01:00:00,7796,7614,182,31,1908,3
1,Liraglutid 1.8 mg,2018-01-04 02:00:00,9419,9342,77,32,1502,3
1,Liraglutid 1.8 mg,2018-01-04 03:00:00,8223,7938,285,60,416,3
1,Liraglutid 1.8 mg,2018-01-04 04:00:00,9356,9126,230,69,846,3
1,Liraglutid 1.8 mg,2018-01-04 05:00:00,9904,9882,22,29,580,3
1,Liraglutid 1.8 mg,2018-01-04 06:00:00,9168,9126,42,24,376,3
1,Liraglutid 1.8 mg,2018-01-04 07:00:00,5104,4914,190,46,662,3
1,Liraglutid 1.8 mg,2018-01-04 08:00:00,684,540,144,14,17022,3
1,Liraglutid 1.8 mg,2018-01-04 09:00:00,7967,7884,83,43,330,3
1,Liraglutid 1.8 mg,2018-01-04 10:00:00,2358,2376,-18,24,190,3
1,Liraglutid 1.8 mg,2018-01-04 11:00:00,152,162,-10,33,1002,3
