Line,Staff,DateTime_Out,DateTime_Out2
1,3,2018-01-02 06:00:00,2018-01-02 15:00:00
1,3,2018-01-02 14:00:00,2018-01-02 23:00:00
1,4,2018-01-02 15:00:00,2018-01-02 23:00:00
1,3,2018-01-02 22:00:00,2018-01-03 06:00:00
1,4,2018-01-02 22:00:00,2018-01-03 00:00:00
1,3,2018-01-03 06:00:00,2018-01-03 15:00:00
1,3,2018-01-03 14:00:00,2018-01-03 23:00:00
1,3,2018-01-03 22:00:00,2018-01-04 06:00:00
1,3,2018-01-04 06:00:00,2018-01-04 15:00:00
1,3,2018-01-04 14:00:00,2018-01-04 21:00:00
1,2,2018-01-04 21:00:00,2018-01-04 23:00:00
1,2,2018-01-04 22:00:00,2018-01-05 06:00:00
1,2,2018-01-05 06:00:00,2018-01-05 15:00:00
1,2,2018-01-05 14:00:00,2018-01-05 23:00:00
1,3,2018-01-05 14:00:00,2018-01-05 23:00:00
1,2,2018-01-05 22:00:00,2018-01-06 06:00:00
1,3,2018-01-05 22:00:00,2018-01-06 06:00:00
1,2,2018-01-06 06:00:00,2018-01-06 15:00:00
1,3,2018-01-06 06:00:00,2018-01-06 15:00:00
1,2,2018-01-06 14:00:00,2018-01-06 15:00:00
1,3,2018-01-06 14:00:00,2018-01-06 23:00:00
1,1,2018-01-06 15:00:00,2018-01-06 23:00:00
1,1,2018-01-06 22:00:00,2018-01-07 06:00:00
1,3,2018-01-06 22:00:00,2018-01-07 06:00:00
1,1,2018-01-07 06:00:00,2018-01-07 15:00:00
1,3,2018-01-07 06:00:00,2018-01-07 07:00:00
1,5,2018-01-07 07:00:00,2018-01-07 15:00:00
1,1,2018-01-07 14:00:00,2018-01-07 15:00:00
1,5,2018-01-07 14:00:00,2018-01-07 15:00:00
1,4,2018-01-07 15:00:00,2018-01-07 15:00:00
1,3,2018-01-07 15:00:00,2018-01-07 23:00:00
1,1,2018-01-07 15:00:00,2018-01-07 23:00:00
1,1,2018-01-07 22:00:00,2018-01-08 06:00:00
1,3,2018-01-07 22:00:00,2018-01-08 06:00:00
1,1,2018-01-08 06:00:00,2018-01-08 06:00:00
1,3,2018-01-08 06:00:00,2018-01-08 15:00:00
1,5,2018-01-08 06:00:00,2018-01-08 15:00:00
1,3,2018-01-08 14:00:00,2018-01-08 15:00:00
1,5,2018-01-08 14:00:00,2018-01-08 15:00:00
1,4,2018-01-08 15:00:00,2018-01-08 23:00:00
1,4,2018-01-08 22:00:00,2018-01-09 06:00:00
1,4,2018-01-09 06:00:00,2018-01-09 15:00:00
1,4,2018-01-09 14:00:00,2018-01-09 16:00:00
1,3,2018-01-09 16:00:00,2018-01-09 23:00:00
1,3,2018-01-09 22:00:00,2018-01-10 06:00:00
1,3,2018-01-10 06:00:00,2018-01-10 15:00:00
1,1,2018-01-10 09:00:00,2018-01-10 15:00:00
1,1,2018-01-10 14:00:00,2018-01-10 23:00:00
1,3,2018-01-10 14:00:00,2018-01-10 23:00:00
1,1,2018-01-10 22:00:00,2018-01-11 04:00:00
1,3,2018-01-10 22:00:00,2018-01-11 04:00:00
1,4,2018-01-11 04:00:00,2018-01-11 06:00:00
1,4,2018-01-11 06:00:00,2018-01-11 07:00:00
1,3,2018-01-11 07:00:00,2018-01-11 15:00:00
1,3,2018-01-11 14:00:00,2018-01-11 23:00:00
1,1,2018-01-11 15:00:00,2018-01-11 23:00:00
1,4,2018-01-11 15:00:00,2018-01-11 23:00:00
1,1,2018-01-11 22:00:00,2018-01-12 06:00:00
1,3,2018-01-11 22:00:00,2018-01-12 06:00:00
1,4,2018-01-11 22:00:00,2018-01-12 06:00:00
1,1,2018-01-12 06:00:00,2018-01-12 15:00:00
1,3,2018-01-12 06:00:00,2018-01-12 15:00:00
1,4,2018-01-12 06:00:00,2018-01-12 15:00:00
1,1,2018-01-12 14:00:00,2018-01-12 23:00:00
1,3,2018-01-12 14:00:00,2018-01-12 23:00:00
1,4,2018-01-12 14:00:00,2018-01-12 23:00:00
1,1,2018-01-12 22:00:00,2018-01-13 06:00:00
1,3,2018-01-12 22:00:00,2018-01-13 06:00:00
1,4,2018-01-12 22:00:00,2018-01-13 06:00:00
1,1,2018-01-13 06:00:00,2018-01-13 15:00:00
1,3,2018-01-13 06:00:00,2018-01-13 15:00:00
1,4,2018-01-13 06:00:00,2018-01-13 15:00:00
1,1,2018-01-13 14:00:00,2018-01-13 23:00:00
1,3,2018-01-13 14:00:00,2018-01-13 23:00:00
1,4,2018-01-13 14:00:00,2018-01-13 23:00:00
1,1,2018-01-13 22:00:00,2018-01-14 06:00:00
1,3,2018-01-13 22:00:00,2018-01-14 06:00:00
1,4,2018-01-13 22:00:00,2018-01-14 06:00:00
1,1,2018-01-14 06:00:00,2018-01-14 15:00:00
1,3,2018-01-14 06:00:00,2018-01-14 15:00:00
1,4,2018-01-14 06:00:00,2018-01-14 15:00:00
1,1,2018-01-14 14:00:00,2018-01-14 23:00:00
1,3,2018-01-14 14:00:00,2018-01-14 23:00:00
1,4,2018-01-14 14:00:00,2018-01-14 23:00:00
1,1,2018-01-14 22:00:00,2018-01-14 23:00:00
1,3,2018-01-14 22:00:00,2018-01-15 06:00:00
1,4,2018-01-14 22:00:00,2018-01-14 23:00:00
1,1,2018-01-14 23:00:00,2018-01-15 06:00:00
1,1,2018-01-15 06:00:00,2018-01-15 15:00:00
1,3,2018-01-15 06:00:00,2018-01-15 15:00:00
1,1,2018-01-15 14:00:00,2018-01-15 23:00:00
1,3,2018-01-15 14:00:00,2018-01-15 23:00:00
1,1,2018-01-15 22:00:00,2018-01-16 06:00:00
1,3,2018-01-15 22:00:00,2018-01-16 06:00:00
1,1,2018-01-16 06:00:00,2018-01-16 15:00:00
1,3,2018-01-16 06:00:00,2018-01-16 15:00:00
1,1,2018-01-16 14:00:00,2018-01-16 23:00:00
1,3,2018-01-16 14:00:00,2018-01-16 23:00:00
1,1,2018-01-16 22:00:00,2018-01-17 00:00:00
1,3,2018-01-16 22:00:00,2018-01-17 06:00:00
1,1,2018-01-17 01:00:00,2018-01-17 06:00:00
1,1,2018-01-17 06:00:00,2018-01-17 15:00:00
1,3,2018-01-17 06:00:00,2018-01-17 15:00:00
1,1,2018-01-17 14:00:00,2018-01-17 23:00:00
1,3,2018-01-17 14:00:00,2018-01-17 23:00:00
1,1,2018-01-17 22:00:00,2018-01-17 23:00:00
1,3,2018-01-17 22:00:00,2018-01-18 06:00:00
1,1,2018-01-18 01:00:00,2018-01-18 06:00:00
1,1,2018-01-18 06:00:00,2018-01-18 15:00:00
1,3,2018-01-18 06:00:00,2018-01-18 15:00:00
1,1,2018-01-18 14:00:00,2018-01-18 23:00:00
1,3,2018-01-18 14:00:00,2018-01-18 23:00:00
1,1,2018-01-18 22:00:00,2018-01-18 23:00:00
1,3,2018-01-18 22:00:00,2018-01-18 23:00:00
1,4,2018-01-18 23:00:00,2018-01-19 06:00:00
1,4,2018-01-19 06:00:00,2018-01-19 15:00:00
1,4,2018-01-19 14:00:00,2018-01-19 23:00:00
1,4,2018-01-19 22:00:00,2018-01-20 06:00:00
1,4,2018-01-20 06:00:00,2018-01-20 15:00:00
1,4,2018-01-20 14:00:00,2018-01-20 23:00:00
1,4,2018-01-20 22:00:00,2018-01-21 06:00:00
1,4,2018-01-21 06:00:00,2018-01-21 15:00:00
1,4,2018-01-21 14:00:00,2018-01-21 22:00:00
1,4,2018-01-21 22:00:00,2018-01-21 22:00:00
1,5,2018-01-21 22:00:00,2018-01-22 06:00:00
1,5,2018-01-22 06:00:00,2018-01-22 15:00:00
1,5,2018-01-22 14:00:00,2018-01-22 15:00:00
1,3,2018-01-22 15:00:00,2018-01-22 23:00:00
1,5,2018-01-22 15:00:00,2018-01-22 16:00:00
1,5,2018-01-22 22:00:00,2018-01-22 23:00:00
1,3,2018-01-22 22:00:00,2018-01-23 06:00:00
1,5,2018-01-22 22:00:00,2018-01-23 06:00:00
1,3,2018-01-23 06:00:00,2018-01-23 15:00:00
1,5,2018-01-23 06:00:00,2018-01-23 15:00:00
1,3,2018-01-23 14:00:00,2018-01-23 22:00:00
1,5,2018-01-23 14:00:00,2018-01-23 22:00:00
1,4,2018-01-23 22:00:00,2018-01-23 22:00:00
1,4,2018-01-23 22:00:00,2018-01-23 22:00:00
1,5,2018-01-23 22:00:00,2018-01-24 06:00:00
1,5,2018-01-24 06:00:00,2018-01-24 14:00:00
1,3,2018-01-24 06:00:00,2018-01-24 14:00:00
1,4,2018-01-24 14:00:00,2018-01-24 15:00:00
1,4,2018-01-24 14:00:00,2018-01-24 23:00:00
1,4,2018-01-24 22:00:00,2018-01-25 06:00:00
1,4,2018-01-25 06:00:00,2018-01-25 14:00:00
1,3,2018-01-25 14:00:00,2018-01-25 15:00:00
1,3,2018-01-25 14:00:00,2018-01-25 23:00:00
1,3,2018-01-25 22:00:00,2018-01-26 06:00:00
1,3,2018-01-26 06:00:00,2018-01-26 15:00:00
1,3,2018-01-26 14:00:00,2018-01-26 23:00:00
1,3,2018-01-26 22:00:00,2018-01-27 06:00:00
1,3,2018-01-27 06:00:00,2018-01-27 07:00:00
1,4,2018-01-27 07:00:00,2018-01-27 15:00:00
1,4,2018-01-27 14:00:00,2018-01-27 23:00:00
1,4,2018-01-27 22:00:00,2018-01-28 06:00:00
1,4,2018-01-28 06:00:00,2018-01-28 15:00:00
1,4,2018-01-28 14:00:00,2018-01-28 23:00:00
1,4,2018-01-28 22:00:00,2018-01-29 06:00:00
1,4,2018-01-29 06:00:00,2018-01-29 15:00:00
1,4,2018-01-29 14:00:00,2018-01-29 23:00:00
1,4,2018-01-29 22:00:00,2018-01-30 06:00:00
1,4,2018-01-30 06:00:00,2018-01-30 15:00:00
1,4,2018-01-30 14:00:00,2018-01-30 23:00:00
1,4,2018-01-30 22:00:00,2018-01-31 05:00:00
1,2,2018-01-31 05:00:00,2018-01-31 06:00:00
1,2,2018-01-31 06:00:00,2018-01-31 15:00:00
1,4,2018-01-31 08:00:00,2018-01-31 15:00:00
1,2,2018-01-31 14:00:00,2018-01-31 23:00:00
1,4,2018-01-31 14:00:00,2018-01-31 23:00:00
1,2,2018-01-31 22:00:00,2018-01-31 23:00:00
1,4,2018-01-31 22:00:00,2018-01-31 23:00:00
1,3,2018-01-31 23:00:00,2018-02-01 06:00:00
1,3,2018-02-01 06:00:00,2018-02-01 15:00:00
1,3,2018-02-01 14:00:00,2018-02-01 23:00:00
1,3,2018-02-01 22:00:00,2018-02-02 06:00:00
1,3,2018-02-02 06:00:00,2018-02-02 15:00:00
1,3,2018-02-02 14:00:00,2018-02-02 23:00:00
1,3,2018-02-02 22:00:00,2018-02-03 06:00:00
1,3,2018-02-03 06:00:00,2018-02-03 15:00:00
1,3,2018-02-03 14:00:00,2018-02-03 23:00:00
1,3,2018-02-03 22:00:00,2018-02-04 06:00:00
1,3,2018-02-04 06:00:00,2018-02-04 12:00:00
1,4,2018-02-04 10:00:00,2018-02-04 12:00:00
1,4,2018-02-04 12:00:00,2018-02-04 14:00:00
1,4,2018-02-04 14:00:00,2018-02-04 14:00:00
1,3,2018-02-04 14:00:00,2018-02-04 23:00:00
1,5,2018-02-04 14:00:00,2018-02-04 14:00:00
1,7,2018-02-04 14:00:00,2018-02-04 14:00:00
1,3,2018-02-04 22:00:00,2018-02-05 06:00:00
1,3,2018-02-05 06:00:00,2018-02-05 15:00:00
1,3,2018-02-05 14:00:00,2018-02-05 23:00:00
1,5,2018-02-05 16:00:00,2018-02-05 23:00:00
1,3,2018-02-05 22:00:00,2018-02-06 06:00:00
1,5,2018-02-05 22:00:00,2018-02-06 06:00:00
1,3,2018-02-06 06:00:00,2018-02-06 15:00:00
1,5,2018-02-06 06:00:00,2018-02-06 15:00:00
1,3,2018-02-06 14:00:00,2018-02-06 23:00:00
1,5,2018-02-06 14:00:00,2018-02-06 22:00:00
1,4,2018-02-06 22:00:00,2018-02-06 23:00:00
1,3,2018-02-06 22:00:00,2018-02-07 06:00:00
1,4,2018-02-06 22:00:00,2018-02-07 06:00:00
1,3,2018-02-07 06:00:00,2018-02-07 15:00:00
1,4,2018-02-07 06:00:00,2018-02-07 15:00:00
1,3,2018-02-07 14:00:00,2018-02-07 23:00:00
1,4,2018-02-07 14:00:00,2018-02-07 23:00:00
1,3,2018-02-07 22:00:00,2018-02-08 06:00:00
1,4,2018-02-07 22:00:00,2018-02-08 06:00:00
1,3,2018-02-08 06:00:00,2018-02-08 15:00:00
1,4,2018-02-08 06:00:00,2018-02-08 15:00:00
1,3,2018-02-08 14:00:00,2018-02-08 23:00:00
1,4,2018-02-08 14:00:00,2018-02-08 23:00:00
1,3,2018-02-08 22:00:00,2018-02-09 06:00:00
1,4,2018-02-08 22:00:00,2018-02-09 06:00:00
1,3,2018-02-09 06:00:00,2018-02-09 11:00:00
1,4,2018-02-09 06:00:00,2018-02-09 13:00:00
1,3,2018-02-09 13:00:00,2018-02-09 15:00:00
1,3,2018-02-09 14:00:00,2018-02-09 23:00:00
1,3,2018-02-09 22:00:00,2018-02-10 06:00:00
1,3,2018-02-10 06:00:00,2018-02-10 15:00:00
1,3,2018-02-10 14:00:00,2018-02-10 23:00:00
1,3,2018-02-10 22:00:00,2018-02-11 06:00:00
1,3,2018-02-11 06:00:00,2018-02-11 15:00:00
1,3,2018-02-11 14:00:00,2018-02-11 18:00:00
1,3,2018-02-11 18:00:00,2018-02-11 23:00:00
1,3,2018-02-11 22:00:00,2018-02-12 06:00:00
1,3,2018-02-12 06:00:00,2018-02-12 15:00:00
1,3,2018-02-12 14:00:00,2018-02-12 23:00:00
1,3,2018-02-12 22:00:00,2018-02-13 06:00:00
1,3,2018-02-13 06:00:00,2018-02-13 15:00:00
1,3,2018-02-13 14:00:00,2018-02-13 23:00:00
1,3,2018-02-13 22:00:00,2018-02-14 06:00:00
1,3,2018-02-14 06:00:00,2018-02-14 08:00:00
1,4,2018-02-14 08:00:00,2018-02-14 15:00:00
1,4,2018-02-14 14:00:00,2018-02-14 23:00:00
1,3,2018-02-14 21:00:00,2018-02-14 23:00:00
1,3,2018-02-14 22:00:00,2018-02-15 06:00:00
1,4,2018-02-14 22:00:00,2018-02-15 06:00:00
1,3,2018-02-15 06:00:00,2018-02-15 15:00:00
1,4,2018-02-15 06:00:00,2018-02-15 15:00:00
1,3,2018-02-15 14:00:00,2018-02-15 23:00:00
1,4,2018-02-15 14:00:00,2018-02-15 23:00:00
1,3,2018-02-15 22:00:00,2018-02-16 06:00:00
1,4,2018-02-15 22:00:00,2018-02-16 06:00:00
1,3,2018-02-16 06:00:00,2018-02-16 15:00:00
1,4,2018-02-16 06:00:00,2018-02-16 15:00:00
1,3,2018-02-16 14:00:00,2018-02-16 23:00:00
1,4,2018-02-16 14:00:00,2018-02-16 22:00:00
1,3,2018-02-16 22:00:00,2018-02-17 06:00:00
1,4,2018-02-16 22:00:00,2018-02-16 22:00:00
1,1,2018-02-16 22:00:00,2018-02-17 06:00:00
1,1,2018-02-17 06:00:00,2018-02-17 15:00:00
1,3,2018-02-17 06:00:00,2018-02-17 15:00:00
1,1,2018-02-17 14:00:00,2018-02-17 15:00:00
1,3,2018-02-17 14:00:00,2018-02-17 15:00:00
1,4,2018-02-17 15:00:00,2018-02-17 23:00:00
1,4,2018-02-17 22:00:00,2018-02-18 06:00:00
1,1,2018-02-17 23:00:00,2018-02-18 06:00:00
1,1,2018-02-18 06:00:00,2018-02-18 15:00:00
1,4,2018-02-18 06:00:00,2018-02-18 14:00:00
