Line,Staff,StartTime,EndTime
1,3,2018-01-02 06:30:03,2018-01-02 15:00:03
1,3,2018-01-02 14:50:03,2018-01-02 23:00:00
1,4,2018-01-02 15:03:42,2018-01-02 23:00:00
1,3,2018-01-02 22:50:03,2018-01-03 06:40:00
1,4,2018-01-02 22:50:04,2018-01-03 00:29:24
1,3,2018-01-03 06:30:03,2018-01-03 15:00:03
1,3,2018-01-03 14:50:03,2018-01-03 23:00:03
1,3,2018-01-03 22:50:03,2018-01-04 06:40:03
1,3,2018-01-04 06:30:03,2018-01-04 15:00:03
1,3,2018-01-04 14:50:03,2018-01-04 21:38:06
1,2,2018-01-04 21:38:06,2018-01-04 23:00:00
1,2,2018-01-04 22:50:02,2018-01-05 06:40:02
1,2,2018-01-05 06:30:02,2018-01-05 15:00:00
1,2,2018-01-05 14:50:02,2018-01-05 23:00:00
1,3,2018-01-05 14:54:57,2018-01-05 23:00:00
1,2,2018-01-05 22:50:02,2018-01-06 06:40:02
1,3,2018-01-05 22:50:03,2018-01-06 06:40:03
1,2,2018-01-06 06:30:02,2018-01-06 15:00:02
1,3,2018-01-06 06:30:03,2018-01-06 15:00:03
1,2,2018-01-06 14:50:02,2018-01-06 15:48:26
1,3,2018-01-06 14:50:03,2018-01-06 23:00:00
1,1,2018-01-06 15:48:27,2018-01-06 23:00:00
1,1,2018-01-06 22:50:01,2018-01-07 06:40:01
1,3,2018-01-06 22:50:03,2018-01-07 06:40:03
1,1,2018-01-07 06:30:01,2018-01-07 15:00:00
1,3,2018-01-07 06:30:03,2018-01-07 07:37:32
1,5,2018-01-07 07:37:37,2018-01-07 15:00:00
1,1,2018-01-07 14:50:01,2018-01-07 15:36:02
1,5,2018-01-07 14:50:05,2018-01-07 15:36:10
1,4,2018-01-07 15:36:06,2018-01-07 15:36:16
1,3,2018-01-07 15:36:13,2018-01-07 23:00:00
1,1,2018-01-07 15:36:17,2018-01-07 23:00:00
1,1,2018-01-07 22:50:01,2018-01-08 06:38:50
1,3,2018-01-07 22:50:03,2018-01-08 06:40:00
1,1,2018-01-08 06:30:01,2018-01-08 06:38:50
1,3,2018-01-08 06:30:03,2018-01-08 15:00:00
1,5,2018-01-08 06:38:57,2018-01-08 15:00:00
1,3,2018-01-08 14:50:03,2018-01-08 15:01:24
1,5,2018-01-08 14:50:05,2018-01-08 15:01:24
1,4,2018-01-08 15:01:28,2018-01-08 23:00:00
1,4,2018-01-08 22:50:04,2018-01-09 06:40:04
1,4,2018-01-09 06:30:04,2018-01-09 15:00:04
1,4,2018-01-09 14:50:04,2018-01-09 16:07:02
1,3,2018-01-09 16:07:05,2018-01-09 23:00:00
1,3,2018-01-09 22:50:03,2018-01-10 06:40:03
1,3,2018-01-10 06:30:03,2018-01-10 15:00:00
1,1,2018-01-10 09:34:57,2018-01-10 15:00:00
